,,16,13.5,11.2,9.51,8,6.73,5.66,4.76,4,3.36,2.83,2.38,2,1.68,1.41,1.19,1,0.8409,0.7071,0.5946,0.5,0.4204,0.3536,0.2973,0.25,0.2102,0.1768,0.1487,0.125,0.1051,0.088388,0.074325,0.0625,0.052556,0.044194,0.037163,0.03125,0.026278,0.022097,0.018581,0.015625,0.013139,0.011049,0.009291,0.007813,0.00657,0.005524,0.004645,0.003906,0.003285,0.002762,0.002323,0.001953,0.001642,0.001381,0.001161,0.000983,0.000821,0.000691,0.000581,0.000492,0.000411,0.00035,0.000241,0.00012
,,-4,-3.75,-3.5,-3.25,-3,-2.75,-2.5,-2.25,-2,-1.75,-1.5,-1.25,-1,-0.75,-0.5,-0.25,0,0.249994,0.499993,0.750009,1,1.249994,1.500014,1.750009,2,2.250028,2.499973,2.750009,3,3.250028,3.499973,3.749912,4,4.249891,4.500136,4.750106,5,5.249891,5.49981,5.750106,5.999538,6.249891,6.49981,6.750106,7.000462,7.249891,7.501116,7.748554,7.998616,8.252088,8.501116,8.751659,9.00231,9.252088,9.501116,9.751659,9.994931,10.252088,10.501116,10.751659,10.994931,11.252088,11.480357,12.024678,13.024678
02G2A-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054003,2.030122,6.640398,7.620457,7.270436,7.050423,6.850411,6.440386,6.200372,5.84035,5.310319,4.970298,4.66028,4.410265,4.220253,4.110247,3.810229,3.720223,3.150189,2.570154,1.800108,1.030062,0.240014,0,0
02G2A-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460046,4.910491,9.480948,8.930893,7.830783,7.160716,6.510651,6.120612,5.730573,5.420542,5.220522,5.0005,4.760476,4.640464,4.230423,4.090409,3.440344,2.770277,1.940194,1.10011,0.250025,0,0
02G2A-3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000081,0.007916,0.062518,0.145943,0.255755,0.430318,0.501361,0.322739,0.126254,0.04425,0.026793,0.016441,0.006901,0.00751,0.016036,0.380087,3.689613,6.687591,6.687185,6.372998,6.323596,6.264597,5.99961,5.891614,5.626729,5.185516,4.901276,4.626916,4.411453,4.254907,4.157341,3.863767,3.776183,3.198024,2.609862,1.834906,1.040147,0.245267,0,0
02G2A-5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063,0.409974,4.029746,7.249543,7.119551,6.619583,6.459593,6.309602,5.999622,5.889629,5.619646,5.189673,4.909691,4.639708,4.429721,4.269731,4.169737,3.879756,3.799761,3.219797,2.629834,1.849883,1.049934,0.249984,0,0
02G2B-0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0081,0.52001,5.020095,8.700165,8.190156,7.37014,6.910131,6.460123,5.940113,5.670108,5.310101,4.850092,4.550086,4.260081,4.050077,3.860073,3.740071,3.450066,3.340063,2.810053,2.280043,1.59003,0.910017,0.210004,0,0
02G2B-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.459968,4.449689,7.879448,7.629466,7.039507,6.759527,6.479546,6.069575,5.879588,5.549612,5.089644,4.779665,4.479686,4.239703,4.039717,3.909726,3.599748,3.489756,2.939794,2.389833,1.669883,0.949934,0.219985,0,0
02G2B-3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064,0.420015,4.090147,7.350265,7.23026,6.750243,6.600238,6.450232,6.12022,5.990216,5.690205,5.210188,4.900176,4.580165,4.340156,4.150149,4.040145,3.750135,3.660132,3.100112,2.530091,1.780064,1.020037,0.240009,0,0
02G2B-5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003062,0.047459,0.091638,0.141285,0.282132,0.45491,0.505213,0.341183,0.136692,0.041773,0.02537,0.021871,0.01356,0.007436,0.01292,0.417212,4.045899,7.224586,7.028497,6.509363,6.342184,6.194789,5.891157,5.773613,5.509526,5.079158,4.795528,4.511855,4.296659,4.130443,4.033054,3.749796,3.66219,3.104582,2.536754,1.782838,1.018746,0.235067,0,0
02G2C-0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007599,0.489963,4.729641,8.269372,7.839404,7.09946,6.729489,6.369516,5.929549,5.719565,5.38959,4.939625,4.659646,4.379667,4.169683,3.999696,3.899704,3.609726,3.509733,2.969774,2.419816,1.689872,0.959927,0.219983,0,0
02G2C-1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053992,2.019717,6.599076,7.558942,7.218989,7.009019,6.829044,6.4291,6.189134,5.849181,5.319255,4.989301,4.669346,4.419381,4.239406,4.13942,3.839462,3.749475,3.179555,2.599636,1.819745,1.039854,0.239966,0,0
02G2C-3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064,0.420015,4.100148,7.330264,7.190259,6.720242,6.570237,6.410231,6.10022,5.970215,5.690205,5.240189,4.940178,4.630167,4.390158,4.200151,4.070147,3.760135,3.660132,3.090111,2.520091,1.760063,1.000036,0.230008,0,0
02G2C-5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016,0.013518,0.072472,0.144757,0.240322,0.367993,0.446849,0.304158,0.111149,0.038301,0.029665,0.018963,0.009951,0.007698,0.013856,0.514416,4.929666,8.393386,7.333388,6.312066,6.0657,5.839328,5.603335,5.622767,5.416765,5.063808,4.79895,4.504475,4.278817,4.072834,3.945516,3.641795,3.534453,2.985304,2.425782,1.69931,0.972444,0.225883,0,0
02G3A-0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007899,0.50996,4.909612,8.519327,8.009367,7.179433,6.759466,6.359498,5.899534,5.669552,5.329579,4.889614,4.599637,4.319659,4.109675,3.939689,3.839697,3.54972,3.459727,2.919769,2.379812,1.669868,0.949925,0.219983,0,0
02G3A-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155,0.010065,0.045653,0.076568,0.153495,0.29333,0.474504,0.736919,0.808813,0.506856,0.189801,0.077646,0.043856,0.019771,0.014738,0.017974,0.022734,0.434746,4.145042,7.37531,7.201724,6.699535,6.486296,6.253769,5.886591,5.712466,5.403653,4.959972,4.670734,4.381424,4.150048,3.957462,3.832849,3.534255,3.429253,2.879205,2.3388,1.633374,0.927985,0.212628,0,0
02G3A-3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000095,0.011164,0.102779,0.214752,0.417026,0.712556,0.817634,0.528671,0.198005,0.072241,0.038747,0.022986,0.016418,0.013135,0.016369,0.414763,3.993743,7.175841,7.068463,6.602564,6.436498,6.261416,5.912665,5.74801,5.438505,4.983953,4.69389,4.403861,4.181601,4.007833,3.912098,3.632265,3.555546,3.00424,2.452278,1.725562,0.979207,0.232621,0,0
02G3A-5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001289,0.069443,0.206521,0.318942,0.495378,0.527046,0.321204,0.127577,0.044109,0.025787,0.019001,0.010858,0.009048,0.015755,0.417497,4.022539,7.209134,7.071853,6.591823,6.434317,6.277264,5.954514,5.827233,5.533985,5.084293,4.790999,4.487932,4.263098,4.077583,3.970505,3.687754,3.600472,3.043386,2.486073,1.742387,0.998497,0.234902,0,0
02G3B-0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058007,2.150258,6.980838,7.890947,7.440893,7.140857,6.860823,6.400768,6.120734,5.75069,5.220626,4.880586,4.570548,4.33052,4.150498,4.040485,3.740449,3.650438,3.090371,2.520302,1.770212,1.010121,0.230028,0,0
02G3B-1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479952,5.079492,9.769023,9.109089,7.889211,7.169283,6.469353,6.049395,5.669433,5.349465,5.139486,4.929507,4.679532,4.569543,4.169583,4.039596,3.409659,2.749725,1.929807,1.09989,0.249975,0,0
02G3B-3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062,0.400015,3.980151,7.190273,7.090269,6.640252,6.520248,6.400243,6.100232,5.980227,5.700217,5.230199,4.930187,4.630176,4.390167,4.22016,4.120157,3.830146,3.750143,3.180121,2.600099,1.83007,1.04004,0.240009,0,0
02G3B-5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061,0.400016,3.930153,7.100277,7.010273,6.580257,6.460252,6.350248,6.070237,5.970233,5.710223,5.270206,4.980194,4.690183,4.450174,4.280167,4.170163,3.870151,3.780147,3.200125,2.610102,1.830071,1.040041,0.240009,0,0
02G3C-0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066,0.430015,4.220143,7.570257,7.410252,6.900235,6.700228,6.48022,6.120208,5.950202,5.640192,5.170176,4.860165,4.540154,4.300146,4.100139,3.970135,3.670125,3.570121,3.010102,2.450083,1.720058,0.980033,0.230008,0,0
02G3C-1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052998,1.99994,6.559803,7.539774,7.209784,7.029789,6.869794,6.479806,6.249813,5.889823,5.359839,5.00985,4.66986,4.409868,4.219873,4.109877,3.809886,3.719888,3.149906,2.579923,1.809946,1.029969,0.239993,0,0
02G3C-3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003787,0.053526,0.092913,0.170676,0.335798,0.532732,0.575654,0.386294,0.157042,0.051253,0.030298,0.022723,0.013886,0.009847,0.015735,0.408236,3.9646,7.121565,7.004088,6.545446,6.398474,6.242007,5.929326,5.802153,5.529068,5.0904,4.798073,4.50572,4.281651,4.106523,3.990056,3.69788,3.610657,3.055043,2.489176,1.7476,0.995822,0.234271,0,0
02G3C-5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.389977,3.869768,7.019579,6.989581,6.599604,6.519609,6.439614,6.16963,6.079635,5.809651,5.349679,5.039698,4.709717,4.449733,4.249745,4.109753,3.799772,3.699778,3.119813,2.539848,1.779893,1.019939,0.239986,0,0
02P2B-0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050999,1.889981,6.189938,7.04993,6.709933,6.559934,6.469935,6.179938,6.04994,5.789942,5.349947,5.089949,4.839952,4.649954,4.519955,4.459955,4.179958,4.119959,3.509965,2.879971,2.02998,1.159988,0.269997,0,0
02P2B-1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,4.13,8.08,7.79,7.04,6.69,6.35,6.15,5.89,5.67,5.51,5.36,5.18,5.13,4.77,4.69,4,3.26,2.3,1.32,0.3,0,0
02P2B-3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00577,0.023078,0.012693,0.036925,0.094852,0.159241,0.242323,0.339252,0.443105,0.420027,0.251554,0.099699,0.039464,0.025155,0.017309,0.012232,0.009693,0.014296,0.426394,4.100147,7.256255,6.972659,6.385692,6.189345,6.032312,5.748254,5.660082,5.425227,5.034124,4.779933,4.525812,4.340204,4.193844,4.115997,3.842864,3.774696,3.198193,2.621229,1.83893,1.04663,0.244509,0,0
02P2B-5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000884,0.028523,0.078338,0.160091,0.311344,0.441908,0.466012,0.269162,0.093805,0.032139,0.020288,0.015467,0.01165,0.008035,0.010701,0.386804,3.808471,6.885544,6.776543,6.333955,6.215154,6.116777,5.852228,5.754372,5.499583,5.07814,4.81343,4.548781,4.362649,4.245234,4.196839,3.942451,3.894056,3.325679,2.737502,1.923332,1.099041,0.255091,0,0
02P2C-0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049995,1.859814,6.09939,6.9993,6.709329,6.579342,6.479352,6.179382,6.029397,5.779422,5.339466,5.089491,4.849515,4.669533,4.549545,4.49955,4.209579,4.149585,3.529647,2.889711,2.029797,1.159884,0.269973,0,0
