PrincipaI Investigator:,Jessie Lacy,,,
Project:,ERO19 Sediment Transport in Coastal Environments.,,,
Geographic Location:,North San Francisco Bay,,,
FAN #,2019-625-FA,,,
,,,,
Sample I.D.,Bag I.D.,Bag wt (g),Bag + wt sed (g),Bag + dry sed (g)
02G2A-0,73,4.391,11.9389,7.277
02G2A-1,74,4.392,14.3166,8.551
02G2A-2,75,4.396,18.2466,10.258
02G2A-3,76,4.391,17.9638,10.262
02G2A-4,77,4.378,19.1666,11.171
02G2A-5,78,4.313,20.8909,11.674
02G2B-0,79,4.395,9.1051,6.092
02G2B-1,80,4.382,13.1892,8.026
02G2B-2,81,4.386,18.8555,10.544
02G2B-3,82,4.403,18.7259,10.447
02G2B-4,83,4.39,19.1505,10.798
02G2B-5,84,4.385,19.766,11.399
02G2C-0,85,4.38,11.2539,7.209
02G2C-1,86,4.351,12.6401,7.981
02G2C-2,87,4.374,17.8912,10.364
02G2C-3,88,4.397,19.6121,10.924
02G2C-4,89,4.407,18.5847,10.584
02G2C-5,90,4.393,20.6214,11.742
02G3A-0,91,4.427,12.9988,8.019
02G3A-1,92,4.391,13.0981,8.297
02G3A-2,93,4.404,18.2481,10.636
02G3A-3,94,4.404,19.9936,11.432
02G3A-4,95,4.388,19.1776,10.984
02G3A-5,96,4.389,20.9102,11.69
02G3B-0,97,4.407,13.7016,7.814
02G3B-1,98,4.316,11.2682,7.179
02G3B-2,99,4.393,18.1859,10.265
02G3B-3,100,4.418,20.9346,11.701
02G3B-4,101,3.295,18.5665,10.049
02G3B-5,102,3.239,17.5184,9.489
02G3C-0,103,3.241,14.5074,7.82
02G3C-1,104,3.281,11.7521,6.828
02G3C-2,105,3.286,16.7026,9.092
02G3C-3,106,3.28,17.6201,9.579
02G3C-4,107,3.256,17.8574,9.599
02G3C-5,108,3.269,17.9355,9.387
02P2B-0,109,3.318,10.7679,5.838
02P2B-1,110,3.297,10.0001,5.536
02P2B-2,111,3.282,17.3883,8.458
02P2B-3,112,3.248,19.0486,10.256
02P2B-4,113,3.23,19.0608,10.698
02P2B-5,114,3.283,18.1131,10.026
02P2C-0,115,3.269,12.5273,6.536
02P2C-1,116,3.274,11.3937,6.101
02P2C-2,117,3.264,16.4144,7.635
02P2C-3,118,3.227,18.0647,8.657
02P2C-4,119,3.221,18.2524,9.093
02P2C-5,120,3.217,18.7353,10.011
02P2D-0,121,3.238,12.6069,6.872
02P2D-1,122,3.25,11.1304,6.348
02P2D-2,123,3.246,17.0617,8.169
02P2D-3,124,3.263,17.7726,8.956
02P2D-4,125,3.256,18.8054,10.129
02P2D-5,126,3.254,18.2966,10.198
02P3A-0,127,3.258,13.2378,6.87
02P3A-1,128,3.261,11.3474,6.472
02P3A-2,129,3.247,17.3846,8.539
02P3A-3,130,3.236,19.0435,10.04
02P3A-4,131,3.32,18.4383,10.009
02P3A-5,132,3.293,17.5534,9.634
02P3B-0,133,3.243,12.5364,6.841
02P3B-1,134,3.256,9.7165,5.784
02P3B-2,135,3.269,16.9894,8.282
02P3B-3,136,3.242,17.3817,8.69
02P3B-4,137,3.275,19.4544,10.42
02P3B-5,138,3.265,19.4322,10.821
02P3D-0,139,3.275,10.0946,5.643
02P3D-1,140,3.226,10.4148,5.819
02P3D-2,141,3.233,16.8111,8.059
02P3D-3,142,3.241,17.6012,8.646
02P3D-4,143,3.259,18.2825,9.341
02P3D-5,144,3.228,18.0486,9.558
